price(mln),area,latitude,longitude,Bedrooms,Bathrooms,Balcony,parking,Lift,Status,neworold,Furnished_status,type_of_building
18.0,950.0,19.1154392,72.88780229999999,2.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,SAS,Flat
127.5,3150.0,19.119186401367188,72.86463165283203,4.0,6.0,1.0,1.0,1.0,Ready to Move,Resale,Furnished,Flat
57.5,870.0,18.968870000000003,72.80882,2.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,Furnished,Flat
28.0,1200.0,19.03731,72.87871,2.0,2.0,2.0,2.0,2.0,SAS,New Property,Semi-Furnished,Flat
20.0,900.0,19.137356,72.83391522595551,2.0,2.0,2.0,2.0,2.0,SAS,Resale,Unfurnished,Flat
14.9,1100.0,19.1657808,72.934534,2.0,2.0,0.0,0.0,0.0,SAS,Resale,Semi-Furnished,Flat
27.5,1200.0,19.100385,72.850466,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Individual House
7.0,970.0,19.3693345,72.806127,2.0,2.0,0.0,0.0,0.0,SAS,Resale,Unfurnished,Flat
9.2,800.0,19.28217,72.87654,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
65.0,2700.0,19.019546508789062,72.8382568359375,5.0,5.0,3.0,3.0,3.0,Ready to Move,Resale,Unfurnished,Flat
14.2,990.0,19.207669,72.833345,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
14.8,1150.0,19.111034393310547,72.92391204833984,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
19.5,990.0,19.116876,72.926552,2.0,2.0,0.0,0.0,0.0,Ready to Move,New Property,SAS,Flat
16.0,700.0,19.1173012,72.8840395,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
57.5,1025.0,19.09882164001465,72.83206939697266,3.0,3.0,0.0,0.0,0.0,Ready to Move,New Property,Furnished,Flat
18.5,506.0,18.9984209,72.8426858,2.0,3.0,0.0,0.0,0.0,SAS,Resale,Unfurnished,Flat
4.5,790.0,19.240615100000003,73.0951298,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
15.0,896.0,19.11916160583496,72.86415100097656,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
15.0,1300.0,19.2927235,72.8460979,2.0,2.0,4.0,4.0,4.0,Ready to Move,New Property,SAS,Flat
14.5,800.0,19.1954974,72.84289129999999,2.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,Unfurnished,Flat
37.5,1409.0,19.119409561157227,72.86460876464844,3.0,3.0,1.0,1.0,1.0,Ready to Move,Resale,Furnished,Flat
80.0,3300.0,18.9939253498008,72.84453377204241,4.0,4.0,5.0,5.0,5.0,Ready to Move,Resale,SAS,Flat
25.5,1300.0,19.141978,72.812312,2.0,2.0,1.0,1.0,1.0,SAS,New Property,Unfurnished,Flat
14.9,1350.0,19.263496,72.875621,3.0,3.0,5.0,5.0,5.0,SAS,New Property,Unfurnished,Flat
23.5,1080.0,19.083399,72.91521,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
18.0,1280.0,19.10577585,72.883398,2.0,2.0,0.0,0.0,0.0,SAS,Resale,Unfurnished,Flat
39.0,1128.0,19.153724,72.844521,3.0,3.0,0.0,0.0,0.0,SAS,Resale,Semi-Furnished,Flat
54.5,1800.0,19.15250745,72.83100286,3.0,4.0,1.0,1.0,1.0,Ready to Move,Resale,SAS,Flat
16.0,650.0,19.205001831054688,72.86927032470703,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Individual House
17.1,1050.0,19.0508715,72.9141782,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
13.0,850.0,19.22889,72.82409,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
29.5,1250.0,19.097765,72.916827,3.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
29.5,1000.0,19.180237,72.85541490000001,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
